comuna,pacto,partido
PICA,CHILE VAMOS,INDEPENDIENTES-LISTA XX
PICHIDEGUA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PICHILEMU,INDEPENDIENTES,INDEPENDIENTES
PINTO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
PIRQUE,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
PITRUFQUEN,CHILE VAMOS,RENOVACION NACIONAL
PLACILLA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PORTEZUELO,CHILE VAMOS,RENOVACION NACIONAL
PORVENIR,INDEPENDIENTES,INDEPENDIENTES
POZO ALMONTE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PRIMAVERA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PROVIDENCIA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
PUCHUNCAVI,CHILE VAMOS,INDEPENDIENTES-LISTA XX
PUCON,CHILE VAMOS,RENOVACION NACIONAL
PUDAHUEL,DIGNIDAD AHORA,IGUALDAD
PUENTE ALTO,CHILE VAMOS,RENOVACION NACIONAL
PUERTO MONTT,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
PUERTO OCTAY,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
PUERTO VARAS,INDEPENDIENTES,INDEPENDIENTES
PUMANQUE,INDEPENDIENTES,INDEPENDIENTES
PUNITAQUI,INDEPENDIENTES,INDEPENDIENTES
PUNTA ARENAS,CHILE VAMOS,RENOVACION NACIONAL
PUQUELDON,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
PUREN,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
PURRANQUE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PUTAENDO,INDEPENDIENTES,INDEPENDIENTES
PUTRE,INDEPENDIENTES,INDEPENDIENTES
PUYEHUE,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
QUEILEN,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
QUELLON,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
QUEMCHI,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
QUILACO,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
QUILICURA,FRENTE AMPLIO,INDEPENDIENTES-LISTA XS
QUILLECO,INDEPENDIENTES,INDEPENDIENTES
QUILLON,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
QUILLOTA,INDEPENDIENTES,INDEPENDIENTES
QUILPUE,FRENTE AMPLIO,CONVERGENCIA SOCIAL
QUINCHAO,INDEPENDIENTES,INDEPENDIENTES
QUINTA DE TILCOCO,CHILE VAMOS,INDEPENDIENTES-LISTA XX
QUINTA NORMAL,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
QUINTERO,INDEPENDIENTES,INDEPENDIENTES
QUIRIHUE,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
RANCAGUA,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
RANQUIL,CHILE VAMOS,RENOVACION NACIONAL
RAUCO,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
RECOLETA,CHILE DIGNO VERDE Y SOBERANO,PARTIDO COMUNISTA DE CHILE
RENAICO,INDEPENDIENTES,INDEPENDIENTES
RENCA,INDEPENDIENTES,INDEPENDIENTES
RENGO,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
REQUINOA,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
RETIRO,CHILE VAMOS,RENOVACION NACIONAL
RINCONADA,CHILE VAMOS,INDEPENDIENTES-LISTA XX
RIO BUENO,CHILE VAMOS,INDEPENDIENTES-LISTA XX
RIO CLARO,CHILE VAMOS,RENOVACION NACIONAL
RIO HURTADO,INDEPENDIENTES,INDEPENDIENTES
RIO IBAÑEZ,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
