comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022,pacto,partido,grupo_edad_unido,poblacion_censada.x,hombres,mujeres,porcentaje_hombres,porcentaje_mujeres,poblacion_censada.y,nunca_asistio,diferencial,parvularia,basica,media,superior,nivel_educativo_no_declarado,escolaridad_promedio_hombres_18_mas,escolaridad_promedio_mujeres_18_mas
Chonchi,3663,7449,89,122,4232,6325,407,628,16180,1501,0.09279663915861067,Chile Vamos,Renovacion Nacional,2,3595,1766,1829,49.12,50.88,16078,511,83,583,6281,5511,3045,64,10.4,10.4
Cisnes,1113,2413,39,34,1733,1622,108,171,5862,290,0.04951588699475602,Chile Vamos,Renovacion Nacional,2,1161,562,599,48.41,51.59,5137,147,3,269,1744,1792,1166,16,10.7,11.2
Cobquecura,1219,3776,28,65,2718,2027,56,203,5248,1000,0.1905337466302314,Unidad Por El Apruebo,Independientes-Lista K,3,1216,599,617,49.26,50.74,5495,278,26,275,2187,1590,1134,5,9.4,10.2
Cochamo,792,2666,42,43,1806,1455,103,145,3972,429,0.1079937247332228,Independientes,Independientes,3,1001,536,465,53.55,46.45,4199,181,10,136,1718,1430,716,8,9.6,10.1
Cochrane,841,1398,23,52,1020,1034,83,155,3722,236,0.06328163927296156,Unidad Por El Apruebo,Partido Radical De Chile,2,805,395,410,49.07,50.93,3458,159,3,228,1038,1074,950,6,11,11.5
Codegua,3584,7122,82,185,4404,6012,164,473,14424,800,0.05548542612595471,Independientes,Independientes,1,2841,1427,1414,50.23,49.77,13955,438,93,636,4604,5140,3015,29,10.7,10.9
Coelemu,3238,10110,81,153,7112,5705,175,501,16888,2203,0.1304629702648099,Unidad Por El Apruebo,Independientes-Lista K,3,3327,1661,1666,49.92,50.08,15895,687,50,591,5683,5591,3254,39,10.1,10.5
Coihueco,3415,17294,114,235,14299,6370,268,712,28817,3887,0.1348855952670668,Chile Vamos,Renovacion Nacional,3,6119,3049,3070,49.83,50.17,29766,1459,128,1469,11725,9783,5061,141,9.7,10.3
Coinco,2179,4447,63,122,3058,3448,121,309,7957,782,0.09821882569477522,Independientes,Independientes,3,1582,741,841,46.84,53.16,7916,323,45,316,2661,2784,1747,40,10.5,10.8
Colbun,4373,12605,117,234,7963,8685,312,830,23140,2733,0.1181205973029969,Independientes,Independientes,3,4518,2162,2356,47.85,52.15,22637,780,107,1041,8533,8186,3879,111,9.9,10.4
Colchane,95,1696,0,26,792,166,1,7,1575,350,0.222535219863316,Unidos Por La Dignidad,Independientes-Lista Xu,1,194,98,96,50.52,49.48,790,86,0,51,356,234,60,3,8.5,7.4
Colina,23768,63287,410,888,50390,37229,944,2713,191338,9775,0.05108815662595628,Chile Vamos,Union Democrata Independiente,2,43099,21280,21819,49.37,50.63,173293,5980,1174,11044,44138,53965,55560,1432,12.6,12.7
Collipulli,3445,15075,132,274,10927,6867,343,825,26414,3470,0.1313837175107866,Chile Vamos,Independientes-Lista Xx,1,4818,2316,2502,48.07,51.93,24303,1163,125,1047,9026,9414,3416,112,9.8,10
Coltauco,4674,10605,120,232,6639,8362,262,697,21816,2186,0.1002123568807099,Chile Vamos,Renovacion Nacional,1,4423,2223,2200,50.26,49.74,21373,898,106,903,7586,8184,3651,45,10.1,10.5
Combarbala,3716,6161,141,226,3187,6065,256,504,13884,1527,0.1099473813298209,Unidos Por La Dignidad,Partido Democrata Cristiano,3,2929,1443,1486,49.27,50.73,12954,588,35,462,5370,4314,2138,47,9.7,9.7
Concepcion,65101,102263,864,2377,70285,89776,1814,5495,239074,12926,0.05406677251173651,Unidos Por La Dignidad,Partido Democrata Cristiano,1,63732,32467,31265,50.94,49.06,230375,4688,1141,8376,38611,69040,107730,789,13.5,13.4
Conchali,46269,48425,609,1724,32413,57446,1053,3308,138230,8404,0.06079947209369204,Independientes,Independientes,1,27213,13947,13266,51.25,48.75,121587,3390,814,4873,27793,53410,30661,646,11.7,11.6
Concon,13231,24595,226,565,19872,18197,429,1186,47320,1286,0.02717759424605647,Independientes,Independientes,1,10620,5346,5274,50.34,49.66,48294,1024,193,2089,7816,13496,23189,487,14.1,13.8
Constitucion,9433,25831,229,573,16451,17428,531,1597,50536,5463,0.1081072542788957,Unidad Por El Apruebo,Partido Radical De Chile,1,9663,4799,4864,49.66,50.34,47004,1791,295,2328,14622,18744,8865,359,10.7,11
Contulmo,926,3996,41,60,2979,1725,83,172,6354,781,0.1229370962304697,Independientes,Independientes,3,1232,621,611,50.41,49.59,5905,324,19,193,2285,1992,1082,10,9.7,10.1
Copiapo,41033,63634,680,1649,41809,60415,1497,3975,174693,12635,0.07232720034645454,Unidos Por La Dignidad,Independientes-Lista Xu,1,40707,20552,20155,50.49,49.51,168831,5199,818,7851,39229,65796,48771,1167,12.2,12.2
Coquimbo,63400,88376,1238,3091,60623,90162,2686,7217,268325,18956,0.07064430845317174,Independientes,Independientes,1,59636,29676,29960,49.76,50.24,263719,6963,1757,12212,58879,103778,78679,1451,12.3,12.3
Coronel,25665,53358,423,1349,33864,43329,1032,3798,127830,8025,0.06277480748510066,Independientes,Independientes,1,26326,12925,13401,49.1,50.9,123648,3958,748,5985,31940,48057,32760,200,11.8,11.6
Corral,1719,2615,28,63,1565,2562,88,216,5427,412,0.07590002571204192,Independientes,Independientes,3,1306,659,647,50.46,49.54,5501,201,10,203,2001,2189,881,16,10,10.2
Coyhaique,13776,25261,294,479,17234,20054,722,1553,61766,1781,0.02883525854633565,Unidos Por La Dignidad,Partido Democrata Cristiano,2,13228,6303,6925,47.65,52.35,57823,1571,273,3203,15451,18914,18024,387,12,12.1
Cunco,3648,11109,108,225,7800,6574,257,628,18059,2674,0.1480947838943408,Independientes,Independientes,3,3972,2004,1968,50.45,49.55,19177,649,45,815,6712,7575,3277,104,10.2,10.5
Curacautin,2909,11354,78,191,8011,5659,171,609,18217,1991,0.1092938122360393,Independientes,Independientes,3,3884,1843,2041,47.45,52.55,18536,633,120,836,6093,7095,3709,50,10.5,10.7
Curacavi,10216,14992,200,356,11074,14224,354,863,37653,2258,0.05996458962717061,Chile Vamos,Independientes-Lista Xx,1,7225,3668,3557,50.77,49.23,35165,1078,223,1583,9322,12944,9815,200,11.6,11.8
Curaco de Velez,888,2038,49,56,1238,1429,163,195,4109,388,0.09454132406176127,Unidad Por El Apruebo,Independientes-Lista K,2,773,359,414,46.44,53.56,3662,125,12,139,1491,1231,661,3,10.2,10.1
Curanilahue,6519,18916,150,405,11224,12781,404,1256,33936,2879,0.08483693561802849,Independientes,Independientes,1,6268,3039,3229,48.48,51.52,31119,1470,171,1434,9861,11665,6488,30,10.6,10.7
Curarrehue,1672,4693,53,124,3356,2684,132,292,7842,1193,0.1521925567262996,Unidad Por El Apruebo,Partido Por La Democracia,2,1592,812,780,51.01,48.99,7733,331,13,372,3205,2711,1078,23,9.5,9.8
Curepto,2674,6132,83,173,4026,4166,249,498,9255,1305,0.1409961701302721,Unidad Por El Apruebo,Partido Por La Democracia,3,2203,1156,1047,52.47,47.53,9519,438,35,319,4135,3102,1485,5,9.1,9.5
Curico,36144,71872,621,1531,49991,56641,1542,4384,168469,12254,0.07273449639652813,Unidos Por La Dignidad,Partido Democrata Cristiano,2,34061,16328,17733,47.94,52.06,159968,4737,798,8140,43007,58355,44356,575,11.7,11.8
Dalcahue,3183,7667,103,141,4900,5554,416,590,15316,1432,0.09349236410441326,Chile Vamos,Independientes-Lista Xx,1,3245,1629,1616,50.2,49.8,14894,462,57,634,5861,5478,2357,45,10.2,10.3
Diego de Almagro,4012,4510,65,175,2408,5360,124,384,14082,800,0.05680425565407982,Chile Vamos,Renovacion Nacional,2,2562,1215,1347,47.42,52.58,11397,298,50,587,2863,4895,2625,79,11.9,11.8
Donihue,6179,10869,107,295,6871,9728,240,750,23288,2110,0.09061546751777677,Independientes,Independientes,2,4531,2216,2315,48.91,51.09,21925,702,101,998,6251,8770,5014,89,11.2,11.4
El Bosque,53314,62906,746,1791,41062,69921,1286,3838,170902,10593,0.06198237259124578,Unidad Por El Apruebo,Partido Socialista De Chile,1,34996,17918,17078,51.2,48.8,155257,4764,1343,6887,39794,68022,33466,981,11.3,11.2
El Carmen,2056,8679,66,115,6887,3573,182,338,12263,1830,0.1492478148913714,Unidos Por La Dignidad,Partido Democrata Cristiano,3,2910,1463,1447,50.27,49.73,13186,629,46,510,5531,4474,1986,10,9.4,9.9
El Monte,10305,15793,162,398,10773,14910,379,977,41392,2929,0.07076505082053658,Unidad Por El Apruebo,Partido Socialista De Chile,1,7939,3938,4001,49.6,50.4,37497,1274,269,1778,11074,15107,7745,250,11.1,11.2
El Quisco,6146,7460,63,300,5826,8350,154,544,18432,1651,0.08955603465692674,Independientes,Independientes,3,3719,1709,2010,45.95,54.05,18971,531,136,625,3907,7753,5818,201,12.2,12.1
El Tabo,6022,6598,68,211,5300,7947,146,527,14888,493,0.03309025582593765,Unidad Por El Apruebo,Partido Socialista De Chile,3,3454,1629,1825,47.16,52.84,16260,457,123,490,3752,6913,4395,130,11.7,11.6
Empedrado,763,3187,20,34,2423,1255,61,128,4195,528,0.1258615159951405,Independientes,Independientes,2,814,395,419,48.53,51.47,3990,270,9,190,1641,1342,536,2,8.9,9.7
Ercilla,1716,4544,61,146,3166,2628,139,351,8422,1503,0.1784881441824691,Unidos Por La Dignidad,Independientes-Lista Xu,1,1474,726,748,49.25,50.75,7730,457,30,378,3097,2750,992,26,9.5,9.5
