comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022,pacto,partido,grupo_edad_unido,poblacion_censada.x,hombres,mujeres,porcentaje_hombres,porcentaje_mujeres,poblacion_censada.y,nunca_asistio,diferencial,parvularia,basica,media,superior,nivel_educativo_no_declarado,escolaridad_promedio_hombres_18_mas,escolaridad_promedio_mujeres_18_mas
Quilpue,50936,65699,741,2431,47112,67358,1291,4783,171137,9494,0.05547451853066231,Frente Amplio,Convergencia Social,1,34868,17529,17339,50.27,49.73,162559,3349,1000,6137,27815,59470,63438,1350,13.1,12.8
Quinchao,2271,3753,91,113,2155,3360,225,352,8223,1023,0.1243995669858368,Independientes,Independientes,2,1618,793,825,49.01,50.99,7678,215,34,257,3354,2415,1384,19,9.9,9.8
Quinta Normal,40112,40888,470,1409,29860,48812,758,2626,140381,3017,0.02149306262533348,Unidad Por El Apruebo,Partido Socialista De Chile,1,32075,16410,15665,51.16,48.84,129351,3633,737,5472,24717,54426,38953,1413,12.4,12.3
Quinta de Tilcoco,3758,7521,102,170,4847,5966,223,488,14134,1277,0.09036315425912916,Chile Vamos,Independientes-Lista Xx,3,2844,1371,1473,48.21,51.79,13558,506,93,551,4751,4960,2685,12,10.1,10.8
Quintero,9205,12771,175,517,8771,13527,340,1026,37691,2911,0.07722161790161494,Independientes,Independientes,1,7221,3628,3593,50.24,49.76,35754,1036,281,1626,8588,14026,9862,335,11.9,11.8
Quirihue,2346,6964,62,150,4734,4168,165,410,12228,950,0.07766195598490269,Unidad Por El Apruebo,Partido Radical De Chile,3,2446,1189,1257,48.61,51.39,11746,458,34,489,4404,3979,2374,8,9.8,10.5
Rancagua,68051,104817,855,2845,69048,99546,1681,6801,270994,17158,0.06331478989682579,Unidad Por El Apruebo,Partido Socialista De Chile,1,59433,30183,29250,50.78,49.22,257744,7515,1571,11042,57303,97593,81313,1407,12.3,12.2
Ranquil,1203,3899,28,77,2840,2176,90,184,6285,1054,0.1677266580250115,Chile Vamos,Renovacion Nacional,3,1477,722,755,48.88,51.12,6508,254,15,245,2573,2265,1144,12,9.8,10.1
Rauco,2177,6975,56,183,4753,4237,162,499,11557,1210,0.1046940775833883,Unidad Por El Apruebo,Partido Radical De Chile,3,2362,1151,1211,48.73,51.27,11266,481,45,556,4205,4034,1925,20,9.9,10.3
Recoleta,54029,58367,780,1943,39377,66532,1256,3659,195514,10048,0.05139075533829257,Chile Digno Verde Y Soberano,Partido Comunista De Chile,1,36238,18662,17576,51.5,48.5,154615,4397,943,6455,33921,66267,40956,1676,11.9,11.7
Renaico,1607,6707,50,105,4555,3455,169,337,10939,1365,0.1247576527893416,Independientes,Independientes,3,2185,1054,1131,48.24,51.76,10686,452,54,544,3923,3925,1754,34,9.9,10.3
Renca,48848,49966,586,1725,32467,62165,1163,3655,162638,8555,0.05259981245097571,Independientes,Independientes,1,32574,16483,16091,50.6,49.4,143622,4183,1160,7266,38034,62316,29755,908,11.3,11.1
Rengo,15343,29348,298,649,18460,25310,667,1841,65037,3534,0.05433068555487434,Unidad Por El Apruebo,Independientes-Lista K,1,13925,6934,6991,49.8,50.2,63620,2385,419,3034,19040,23670,14843,229,11,11.2
Requinoa,6153,15407,109,259,10562,10739,309,785,31219,930,0.02979123229974102,Unidad Por El Apruebo,Independientes-Lista K,2,6072,2907,3165,47.88,52.12,29508,1049,188,1426,9569,10409,6811,56,11,11.1
Retiro,2803,13716,102,194,10058,6271,283,717,21331,2599,0.1218370057800926,Chile Vamos,Renovacion Nacional,3,5028,2528,2500,50.28,49.72,22310,1016,102,926,9320,8037,2867,42,9.3,9.9
Rinconada,3241,5700,61,75,3848,5062,131,210,11739,953,0.08114642811420583,Chile Vamos,Independientes-Lista Xx,2,2581,1239,1342,48,52,11855,361,55,639,3407,4160,3194,39,11.7,11.9
Rio Bueno,6264,18891,173,331,12699,11550,427,1105,32950,1885,0.05719854029049724,Chile Vamos,Independientes-Lista Xx,3,7144,3484,3660,48.77,51.23,33363,1219,168,1256,11816,12177,6659,68,10.3,10.5
Rio Claro,2637,8830,76,152,6047,5156,235,534,14984,1409,0.0940344211187788,Chile Vamos,Renovacion Nacional,3,3144,1567,1577,49.84,50.16,14276,814,78,570,5817,5047,1895,55,9.2,9.7
Rio Hurtado,1131,2768,40,83,1766,1896,85,200,4327,336,0.07767953788425436,Independientes,Independientes,3,961,482,479,50.16,49.84,4334,262,12,126,1839,1485,605,5,9.2,9.3
Rio Ibanez,747,1459,17,29,1058,946,57,135,2705,189,0.06984797922222956,Chile Vamos,Union Democrata Independiente,3,587,315,272,53.66,46.34,2723,125,5,131,947,868,640,7,10.3,10.8
Rio Negro,2895,8274,61,156,5446,5225,173,467,14160,1177,0.08309811343413728,Chile Vamos,Renovacion Nacional,3,3031,1506,1525,49.69,50.31,13874,479,83,523,5010,5088,2629,62,10.3,10.3
Rio Verde,115,322,3,2,195,171,4,12,207,6,0.02818903550709916,Chile Vamos,Union Democrata Independiente,3,35,25,10,71.43,28.57,102,6,1,0,43,28,24,0,9.3,11.3
Romeral,3229,9700,74,164,6608,6157,211,577,16637,1273,0.07650278340054337,Unidad Por El Apruebo,Partido Socialista De Chile,2,3557,1701,1856,47.82,52.18,17233,735,71,837,6099,6073,3386,32,10.3,10.6
Saavedra,3145,6862,106,185,4289,5008,285,499,12717,3087,0.2427790507363581,Independientes,Independientes,3,2589,1291,1298,49.86,50.14,12877,711,34,480,5492,4670,1435,55,9.1,9.3
Sagrada Familia,4371,10706,89,145,7029,7623,282,572,19651,1722,0.08760605644640407,Chile Vamos,Union Democrata Independiente,3,4111,2064,2047,50.21,49.79,19427,800,112,938,7644,6926,2954,53,9.5,10
Salamanca,7541,12558,195,305,7442,11925,437,939,29631,2699,0.09107566551334263,Independientes,Independientes,2,5759,2729,3030,47.39,52.61,27823,975,123,1251,9566,10506,5307,95,10.5,10.8
San Antonio,34195,34167,394,1201,22134,44696,781,2794,97919,6493,0.06631099529915913,Independientes,Independientes,1,20475,10401,10074,50.8,49.2,96770,2927,646,4151,23822,41689,22946,589,11.5,11.6
San Bernardo,86645,110134,1125,3215,72548,117266,2200,7275,343570,20568,0.05986493034340202,Unidad Por El Apruebo,Partido Socialista De Chile,1,71457,35833,35624,50.15,49.85,306371,9947,2165,14671,75491,123927,77881,2289,11.8,11.7
San Carlos,8835,32613,222,585,23925,16397,608,1768,56782,7775,0.1369243569248478,Unidad Por El Apruebo,Partido Socialista De Chile,3,11802,5490,6312,46.52,53.48,55847,2488,326,2366,18500,21031,10938,198,10.4,10.7
San Clemente,8090,26170,207,454,17007,16449,489,1711,47340,4984,0.1052914243377955,Independientes,Independientes,1,9684,4757,4927,49.12,50.88,47380,2338,243,2164,17637,17240,7551,207,9.8,10.3
San Esteban,4730,9399,95,209,5694,8259,183,555,21340,1808,0.08472797179083451,Independientes,Independientes,2,4183,1978,2205,47.29,52.71,20112,627,84,873,5577,7575,5316,60,11.5,11.7
San Fabian,1193,3110,26,53,2314,1939,93,198,4738,709,0.1495704128715382,Chile Vamos,Renovacion Nacional,3,1055,520,535,49.29,50.71,5245,371,16,222,1653,1871,1106,6,10.3,10.7
San Felipe,20892,31658,373,859,20823,29999,700,2042,85576,6007,0.07020009159942014,Unidad Por El Apruebo,Independientes-Lista K,1,18164,9111,9053,50.16,49.84,80413,2243,591,3858,19460,31629,22162,470,11.9,12
San Fernando,19500,36799,289,807,24535,30155,682,2256,80197,5460,0.06808443290566933,Independientes,Independientes,2,15631,7353,8278,47.04,52.96,75585,2260,469,3594,19637,30403,18732,490,11.6,11.8
San Gregorio,107,260,5,6,146,150,5,7,662,53,0.08059834822323776,Unidos Por La Dignidad,Partido Democrata Cristiano,3,63,39,24,61.9,38.1,241,9,0,5,75,92,60,0,10.3,12.3
San Ignacio,2357,10947,61,146,8200,4872,202,533,16621,2616,0.1573774854850437,Independientes,Independientes,3,3960,1967,1993,49.67,50.33,17405,712,54,644,7113,6219,2616,47,9.5,9.9
San Javier,8655,27312,178,514,18591,16568,522,1656,50703,4921,0.09705000274390138,Unidos Por La Dignidad,Partido Democrata Cristiano,1,10242,5003,5239,48.85,51.15,49559,2014,381,2279,16734,18361,9559,231,10.4,10.7
San Joaquin,36580,31295,394,1345,21914,43186,698,2465,103586,5013,0.0483953477287964,Independientes,Independientes,1,22629,11327,11302,50.06,49.94,95602,2281,568,3777,19907,38820,29659,590,12.3,12
San Jose de Maipo,6782,7181,80,216,4618,8726,172,527,19211,901,0.04689598567114111,Unidad Por El Apruebo,Partido Radical De Chile,1,3646,1859,1787,50.99,49.01,17441,407,82,805,3808,6318,5872,149,12.3,12.5
San Juan de La Costa,2460,4373,52,97,2745,3844,116,347,7521,967,0.1285194389222041,Unidos Por La Dignidad,Partido Democrata Cristiano,3,1915,1014,901,52.95,47.05,7776,460,22,183,3726,2627,733,25,8.5,8.7
San Miguel,41200,41293,399,1156,32974,49732,792,2258,140870,3061,0.02172713863999223,Frente Amplio,Independientes-Lista Xs,1,42430,20299,22131,47.84,52.16,150829,3708,516,6421,20007,39647,79093,1437,14.4,14.1
San Nicolas,2488,8294,68,145,6117,4628,183,563,12365,1333,0.1077681430225962,Chile Vamos,Renovacion Nacional,3,3319,1670,1649,50.32,49.68,15099,663,58,615,5561,5455,2681,66,9.9,10.3
San Pablo,2616,6011,47,134,4061,4263,133,418,10546,1036,0.09825033302033162,Chile Vamos,Renovacion Nacional,3,2369,1175,1194,49.6,50.4,10883,392,68,414,4119,3848,2002,40,10,10.3
San Pedro,2234,5501,56,114,4025,3604,151,403,12336,1739,0.1409629534176342,Unidad Por El Apruebo,Partido Por La Democracia,1,2228,1152,1076,51.71,48.29,11108,615,26,437,4083,4419,1486,42,9.8,10.2
San Pedro de Atacama,2681,3211,32,108,1811,3910,100,249,10862,529,0.04873007866767889,Chile Digno Verde Y Soberano,Independientes-Lista M,1,2544,1203,1341,47.29,52.71,9843,420,26,541,2308,4030,2417,101,11.9,11.7
San Pedro de la paz,28453,56267,428,1092,39284,45865,991,2880,150780,8172,0.05419591293707465,Independientes,Independientes,2,34196,15994,18202,46.77,53.23,150992,4192,931,7705,32697,45225,59659,583,13.2,13
San Rafael,2026,6258,49,80,4145,3988,137,414,10231,1152,0.1126402723092326,Unidos Por La Dignidad,Partido Democrata Cristiano,1,2242,1113,1129,49.64,50.36,11230,536,45,494,4100,4066,1961,28,10.1,10.5
San Ramon,31979,34908,432,1279,21696,40298,819,2604,84926,5845,0.0688212635197568,Unidos Por La Dignidad,Partido Democrata Cristiano,1,16896,8682,8214,51.38,48.62,76002,2439,555,3026,20783,33975,14621,603,11,10.8
San Rosendo,1172,2356,18,37,1427,1849,49,146,3569,392,0.1097114228804065,Independientes,Independientes,3,813,392,421,48.22,51.78,3575,111,22,120,1099,1392,827,4,10.8,10.8
San Vicente,12922,24429,262,566,16022,20341,601,1555,51677,4754,0.09198570254079973,Unidad Por El Apruebo,Independientes-Lista K,3,10160,4889,5271,48.12,51.88,49559,1645,276,2113,15147,19376,10849,153,10.8,11.2
Santa Barbara,2251,8840,69,166,6406,4360,203,464,14648,2159,0.1474064808854524,Unidos Por La Dignidad,Partido Democrata Cristiano,1,2866,1374,1492,47.94,52.06,14075,677,47,633,4888,5236,2568,26,10.1,10.4
Santa Cruz,8553,20453,208,410,13990,14422,479,1194,42033,2817,0.06701959379957936,Chile Vamos,Independientes-Lista Xx,2,8727,4178,4549,47.87,52.13,41209,1504,190,1934,12039,15663,9790,89,11.1,11.4
Santa Juana,2637,8881,82,149,6172,5020,248,477,14855,1902,0.1280438568771017,Independientes,Independientes,3,3133,1505,1628,48.04,51.96,14947,693,82,642,5456,4881,3169,24,10.1,10.4
Santa Maria,3505,7646,91,138,4806,6175,171,474,16746,1490,0.08900295579648335,Unidad Por El Apruebo,Partido Por La Democracia,3,3015,1415,1600,46.93,53.07,15134,405,120,678,4686,6206,3001,38,10.6,11.1
Santiago,106990,124140,1446,3240,94523,132978,2526,6412,530538,20504,0.03864781172163236,Chile Digno Verde Y Soberano,Partido Comunista De Chile,1,149299,79010,70289,52.92,47.08,438856,10326,1177,14535,53186,133702,222369,3561,13.9,14.1
Santo Domingo,3518,7678,76,159,6307,5125,121,382,12364,739,0.05978177660742861,Chile Vamos,Renovacion Nacional,2,2907,1365,1542,46.96,53.04,13171,354,46,645,3187,4025,4801,113,12.5,12.7
Sierra Gorda,501,1029,5,18,408,690,7,37,1790,38,0.02106018445872439,Independientes,Independientes,1,357,158,199,44.26,55.74,1472,69,2,83,392,669,241,16,11.4,11.1
Talagante,22234,31471,282,781,21714,30988,698,1771,84153,5268,0.06260472900926935,Unidad Por El Apruebo,Partido Socialista De Chile,1,16844,8649,8195,51.35,48.65,76429,2293,464,3657,18488,29797,21156,574,12,12
Talca,59243,104224,778,2128,72424,87347,1909,5765,240239,13759,0.05727019677776846,Chile Vamos,Renovacion Nacional,1,55104,27411,27693,49.74,50.26,232131,6735,1305,10886,51714,82917,77348,1226,12.4,12.5
Talcahuano,39365,71977,582,1896,46553,59925,1265,4332,158184,8040,0.0508274311371509,Chile Vamos,Union Democrata Independiente,1,31888,16061,15827,50.37,49.63,147322,3857,931,5888,30289,53519,52505,333,12.7,12.3
Taltal,3361,4530,60,120,2582,4921,145,363,13892,1595,0.1148022160931823,Independientes,Independientes,1,2635,1341,1294,50.89,49.11,12097,393,48,538,3391,5478,2189,60,11,11.3
Temuco,61323,139628,1079,2654,97818,97249,2462,7026,307099,26372,0.08587311346858956,Unidad Por El Apruebo,Partido Por La Democracia,1,72075,35433,36642,49.16,50.84,292518,7302,1334,13465,59458,99792,109081,2086,12.9,12.9
Teno,5608,17588,119,387,12287,10652,327,1022,31493,2374,0.0753906417667139,Independientes,Independientes,3,6421,3191,3230,49.7,50.3,30113,1455,135,1304,11469,11083,4619,48,9.6,10.1
Teodoro Schmidt,2755,9171,118,205,6527,4824,306,546,15767,3143,0.1993382101295594,Chile Vamos,Union Democrata Independiente,3,3330,1674,1656,50.27,49.73,15639,674,50,578,6825,5531,1955,26,9.3,9.5
Tierra Amarilla,3542,6829,72,213,3723,5929,197,542,14407,990,0.06874896010670549,Chile Digno Verde Y Soberano,Partido Comunista De Chile,1,2655,1369,1286,51.56,48.44,11846,446,44,634,3794,5280,1611,37,10.4,10.5
Tiltil,5258,8333,80,252,5950,7570,142,469,22110,1339,0.06056984286123209,Frente Amplio,Revolucion Democratica,1,4254,2163,2091,50.85,49.15,19742,637,53,1078,5344,7643,4933,54,11.5,11.6
Timaukel,49,160,0,3,82,56,1,5,265,17,0.06433886185884925,Independientes,Independientes,1,46,27,19,58.7,41.3,157,6,0,8,43,39,61,0,11.5,13.8
Tirua,1725,5874,50,136,3994,2977,188,500,11078,2225,0.2008124298944406,Independientes,Independientes,1,2196,1034,1162,47.09,52.91,10208,679,22,417,4373,3077,1633,7,9.3,9.8
Tocopilla,6787,10094,95,376,5255,10722,214,842,28296,2951,0.1042763665480032,Independientes,Independientes,1,5620,2885,2735,51.33,48.67,25400,608,179,1271,6617,11785,4846,94,11.4,11.4
Tolten,1842,6181,44,106,4178,3458,180,358,9981,1676,0.1678913118682342,Chile Vamos,Union Democrata Independiente,3,2238,1114,1124,49.78,50.22,10041,427,28,372,4146,3568,1495,5,9.5,9.8
Tome,14311,28969,266,639,18374,23631,597,1741,58999,4706,0.07976940720072444,Unidos Por La Dignidad,Partido Democrata Cristiano,3,11824,5461,6363,46.19,53.81,56907,1670,289,2118,15062,21791,15903,74,11.6,11.6
Torres del Paine,345,774,9,16,396,483,28,32,1057,56,0.05271174535144489,Independientes,Independientes,2,63,33,30,52.38,47.62,203,6,0,7,42,72,76,0,11.5,13.5
Tortel,171,236,3,8,125,242,5,25,574,26,0.04592469714109936,Unidad Por El Apruebo,Independientes-Lista K,1,136,71,65,52.21,47.79,505,27,0,32,154,153,139,0,11.1,11.9
Traiguen,3222,11588,102,182,8004,6095,271,598,19278,2727,0.1414555179852079,Unidad Por El Apruebo,Independientes-Lista K,3,3872,1841,2031,47.55,52.45,18873,860,99,924,6690,6807,3352,141,10,10.3
Trehuaco,1191,4132,31,43,2886,2058,96,206,5747,985,0.1714588534791126,Independientes,Independientes,3,1341,692,649,51.6,48.4,6124,239,18,263,2550,2032,1016,6,9.5,10.1
Tucapel,2767,8793,70,181,6370,4993,206,537,15340,1680,0.1095376758567159,Chile Vamos,Renovacion Nacional,3,3180,1533,1647,48.21,51.79,15729,464,83,714,5241,6187,3000,40,10.5,10.7
Valdivia,50343,69315,845,1684,46236,69479,1725,4128,180022,6170,0.03427153340337798,Frente Amplio,Revolucion Democratica,1,41207,20693,20514,50.22,49.78,170043,3494,843,7737,35009,60676,61139,1145,12.7,12.7
Vallenar,14794,23189,325,712,13842,22812,635,1801,57266,6143,0.1072782589700814,Independientes,Independientes,1,11114,5600,5514,50.39,49.61,54222,1948,431,2608,13812,23256,11801,366,11.4,11.4
Valparaiso,110326,111824,1400,4235,74393,135505,2611,8870,318916,23524,0.0737638728625354,Independientes,Independientes,1,67852,34794,33058,51.28,48.72,284938,6309,2038,10571,54737,110136,98601,2546,12.6,12.5
Vichuquen,1363,3061,35,43,2116,1865,104,204,4348,379,0.08721674240505135,Independientes,Independientes,3,1074,539,535,50.19,49.81,4716,175,9,181,1865,1493,979,14,10,10.5
Victoria,5224,21404,141,339,15196,9986,399,1111,35534,5099,0.1434975133541408,Independientes,Independientes,3,6901,3220,3681,46.66,53.34,34464,1255,179,1649,10817,13040,7424,100,10.9,11
Vicuna,7404,13433,183,355,8016,11872,389,1038,30247,3301,0.1091485858372039,Unidos Por La Dignidad,Partido Democrata Cristiano,1,5800,2875,2925,49.57,50.43,28047,955,95,1238,8341,11725,5528,165,10.8,11.1
Vilcun,4591,16119,149,356,10967,9361,365,967,31949,3742,0.1171375768691899,Chile Vamos,Renovacion Nacional,1,6495,3156,3339,48.59,51.41,31575,1137,142,1487,10575,11928,6221,85,10.6,10.8
Villa Alegre,2732,9841,86,190,6514,5796,188,637,17835,1743,0.09774061287489391,Chile Vamos,Independientes-Lista Xx,3,3665,1768,1897,48.24,51.76,17919,605,88,930,6655,6440,3111,90,10,10.4
Villa Alemana,37610,51546,521,1953,37993,51590,1033,3834,144303,6411,0.04442612322411763,Independientes,Independientes,1,30444,15031,15413,49.37,50.63,139571,3234,988,5683,25302,51155,52460,749,13.1,12.8
Villarrica,14251,32929,295,885,24234,22524,750,2127,60093,4612,0.07674309015865927,Independientes,Independientes,2,14105,6647,7458,47.13,52.87,67737,2158,249,3335,18715,25158,17681,441,11.6,11.8
Vina del Mar,105823,141864,1643,4186,102759,136251,3282,8279,367792,23824,0.06477586261320568,Frente Amplio,Revolucion Democratica,1,80393,40493,39900,50.37,49.63,334871,7106,1945,12316,57232,114685,139115,2472,13.3,13
Vitacura,9801,60890,245,606,53365,14169,477,1207,97546,869,0.008910462349418486,Chile Vamos,Evolucion Politica,2,17802,8329,9473,46.79,53.21,86420,1916,181,4955,9508,12120,56735,1005,16.7,15.5
Yerbas Buenas,2829,11474,68,184,7987,6281,206,712,19576,2265,0.1156975900531806,Unidos Por La Dignidad,Independientes-Lista Xu,3,4226,2073,2153,49.05,50.95,20035,932,89,838,8390,6982,2746,58,9.3,9.8
Yumbel,4310,13334,130,255,8889,8336,347,795,22180,2786,0.1255900304518519,Independientes,Independientes,3,5115,2469,2646,48.27,51.73,23170,1100,77,781,7853,8677,4650,32,10.3,10.4
Yungay,4206,10207,115,229,7001,7168,275,714,18748,2031,0.1083309460468144,Unidad Por El Apruebo,Partido Socialista De Chile,3,4143,2080,2063,50.21,49.79,18680,625,70,787,6074,7424,3641,59,10.6,10.6
Zapallar,2831,5698,42,106,4676,3786,98,257,8234,355,0.04306437608327314,Chile Vamos,Independientes-Lista Xx,2,1673,820,853,49.01,50.99,7980,220,20,409,2206,2794,2279,52,11.7,11.8
